Date,Close,High,Low,Open,Volume
2022-03-17,1426.9656982421875,1436.3659989745022,1417.8064308619837,1419.2043772273987,7411977
2022-03-21,1433.1842041015625,1440.0777809930355,1419.9756244739176,1433.666270769609,6128938
2022-03-22,1440.5599365234375,1444.2718265579538,1404.9351369420326,1428.1708459288266,5230907
2022-03-23,1426.1942138671875,1464.3257337568862,1420.746837069794,1452.948913502012,15594128
2022-03-24,1390.906982421875,1416.9385825257489,1383.0975259291245,1413.4194723066284,10080022
2022-03-25,1379.5784912109375,1399.9216822003675,1368.1052803321772,1398.9575488104222,8183231
2022-03-28,1381.4102783203125,1386.4237245450436,1351.3292478957562,1379.5784014601795,7877443
2022-03-29,1399.72900390625,1407.8758845641012,1378.710847407406,1389.316315464386,6188724
2022-03-30,1423.9766845703125,1429.5687050000272,1401.8981253134034,1419.2042716304434,10054871
2022-03-31,1417.613525390625,1431.448816183583,1413.323178824622,1418.240235640912,7147857
2022-04-01,1451.98486328125,1455.8413967826611,1417.5653488579817,1423.4465389092209,7284278
2022-04-04,1597.376220703125,1660.3340593936562,1506.506650227341,1523.3307305224253,48725485
2022-04-05,1550.5675048828125,1606.9210537397046,1544.5416712714227,1606.9210537397046,15461291
2022-04-06,1495.226318359375,1532.779386374055,1491.851851327333,1530.754612001174,13513930
2022-04-07,1462.3492431640625,1486.0668997850944,1459.4085894008042,1486.0187637333386,20390866
2022-04-08,1460.32470703125,1471.0265644467006,1443.5970157453803,1457.866119735292,20628161
2022-04-11,1442.4881591796875,1455.8413827613044,1439.6921488796806,1451.984849297036,10399533
2022-04-12,1439.9332275390625,1452.8043848427294,1427.0620702353956,1430.7739602731629,13717701
2022-04-13,1412.4071044921875,1448.417579280739,1410.1896684016592,1436.5586919948305,14446260
2022-04-18,1345.39990234375,1380.3016019453555,1340.1936761513696,1367.9606473816375,22810188
2022-04-19,1294.059814453125,1339.7116255218752,1279.4050337134895,1331.3718479958045,37048011
2022-04-20,1305.7259521484375,1311.1250758214253,1287.4555530231858,1305.8704780093733,24662868
2022-04-21,1325.056640625,1330.3112379762856,1304.7617043055827,1316.042017377711,26223135
2022-04-22,1306.9791259765625,1326.0207593513933,1300.760513039833,1311.2213361908855,10329574
2022-04-25,1316.76513671875,1321.489413722234,1274.8253355492348,1301.5800362953048,10467744
2022-04-26,1322.8392333984375,1332.384059579021,1308.4736226903217,1322.790979653258,8508421
2022-04-27,1323.3214111328125,1329.5400247956009,1307.4613452979268,1311.2214892835511,9027167
2022-04-28,1322.164306640625,1329.539950644907,1313.246072743986,1322.7910168852882,10386861
2022-04-29,1334.9390869140625,1354.3663985325113,1322.357216613944,1330.8415199492908,14200738
2022-05-02,1353.35400390625,1356.0053707511624,1313.197942026957,1313.197942026957,9747158
2022-05-04,1307.3648681640625,1353.2575936850965,1301.5800678624516,1349.7867370425424,14527958
2022-05-05,1304.4241943359375,1325.683382196347,1298.2055811835503,1325.683382196347,8931456
2022-05-06,1270.3421630859375,1287.1181080324138,1265.907172918771,1282.297440961131,13365634
2022-05-09,1272.5113525390625,1278.9228627243772,1249.0347294831745,1253.3733294698004,16381217
2022-05-10,1292.9510498046875,1304.4723960260997,1267.8835832143857,1267.8835832143857,10056906
2022-05-11,1300.2303466796875,1306.4008242959574,1280.995931435701,1304.4725573966275,8551462
2022-05-12,1270.921142578125,1294.0855460969126,1261.1188947280953,1288.526017816126,11191145
